import time: self [us] | cumulative | imported package
import time:      1166 |       1166 |                         torch.cuda.gds
import time:       638 |        638 |                         torch.cuda._utils
import time:       773 |        773 |                         torch.cuda.graphs
import time:       532 |        532 |                           torch._streambase
import time:       707 |       1239 |                         torch.cuda.streams
import time:       317 |        317 |                         pynvml
import time:       721 |        721 |                           torch.cuda._memory_viz
import time:      1127 |       1847 |                         torch.cuda.memory
import time:       675 |        675 |                         torch.cuda.random
import time:       809 |        809 |                           torch.cuda.amp.autocast_mode
import time:       546 |        546 |                           torch.cuda.amp.common
import time:       537 |        537 |                           torch.cuda.amp.grad_scaler
import time:       603 |       2493 |                         torch.cuda.amp
import time:       588 |        588 |                         torch.cuda.jiterator
import time:       630 |        630 |                         torch.cuda.nvtx
import time:       530 |        530 |                         torch.cuda.profiler
import time:       727 |        727 |                         torch.cuda.sparse
import time:       913 |        913 |                         torch.cuda.tunable
import time:      6715 |      19246 |                       torch.cuda
import time:       510 |        510 |                           torch.sparse._semi_structured_conversions
import time:       531 |        531 |                           torch.sparse._semi_structured_ops
import time:      1117 |       2158 |                         torch.sparse.semi_structured
import time:       782 |       2939 |                       torch.sparse
import time:      1140 |       1140 |                       torch._compile
import time:       542 |        542 |                       torch._VF
import time:      1068 |       1068 |                             torch.nn.parameter
import time:      1539 |       1539 |                                 torch._prims_common
import time:       716 |        716 |                                     torch.utils.backcompat
