import time: self [us] | cumulative | imported package
import time:      1158 |       2996 |                         numpy.polynomial.polynomial
import time:      1231 |       1231 |                         numpy.polynomial.chebyshev
import time:       928 |        928 |                         numpy.polynomial.legendre
import time:       888 |        888 |                         numpy.polynomial.hermite
import time:       952 |        952 |                         numpy.polynomial.hermite_e
import time:       945 |        945 |                         numpy.polynomial.laguerre
import time:       874 |       8810 |                       numpy.polynomial
import time:       344 |        344 |                                 backports_abc
import time:       890 |       1233 |                               numpy.random._common
import time:       948 |        948 |                               secrets
import time:       835 |       3015 |                             numpy.random.bit_generator
import time:       532 |        532 |                             numpy.random._bounded_integers
import time:       525 |        525 |                             numpy.random._mt19937
import time:      1225 |       5295 |                           numpy.random.mtrand
import time:       523 |        523 |                           numpy.random._philox
import time:       497 |        497 |                           numpy.random._pcg64
import time:       514 |        514 |                           numpy.random._sfc64
import time:      1194 |       1194 |                           numpy.random._generator
import time:       890 |       8910 |                         numpy.random._pickle
import time:       819 |       9729 |                       numpy.random
import time:      1972 |       1972 |                       numpy.ctypeslib
import time:      3095 |       3095 |                         numpy.ma.core
import time:      1660 |       1660 |                         numpy.ma.extras
import time:       999 |       5753 |                       numpy.ma
import time:      2527 |     112837 |                     numpy
import time:      1103 |       1103 |                     transformers.utils.logging
import time:     44839 |      44839 |                     transformers.utils.import_utils
import time:      1111 |       1111 |                       glob
import time:      2813 |       2813 |                       typing_extensions
import time:      1989 |       1989 |                       torch._utils
import time:       857 |        857 |                           torch._strobelight
import time:        75 |         75 |                               gc
import time:      1058 |       1132 |                             timeit
import time:      1001 |       2133 |                           torch._strobelight.cli_function_profiler
import time:       911 |       3900 |                         torch._strobelight.compile_time_profiler
import time:      1054 |       4953 |                       torch._utils_internal
import time:       841 |        841 |                             torch._vendor
import time:       939 |       1780 |                           torch._vendor.packaging
import time:       676 |        676 |                           torch._vendor.packaging._structures
import time:      1637 |       4092 |                         torch._vendor.packaging.version
import time:       745 |        745 |                         torch.version
import time:       851 |       5687 |                       torch.torch_version
import time:      1261 |       1261 |                       sysconfig
import time:     32845 |      32845 |                       torch._C
import time:       567 |        567 |                         torch._namedtensor_internals
import time:      2156 |       2156 |                         torch.overrides
import time:      1443 |       4166 |                       torch._tensor
import time:       965 |        965 |                         torch.types
import time:      1376 |       2340 |                       torch.storage
import time:       826 |        826 |                         torch.amp.autocast_mode
import time:       882 |        882 |                         torch.amp.grad_scaler
import time:       702 |       2409 |                       torch.amp
import time:       800 |        800 |                       torch.random
import time:      1459 |       1459 |                         difflib
import time:       326 |        326 |                           pwd
import time:       253 |        253 |                           grp
import time:      1428 |       2006 |                         tarfile
import time:       748 |        748 |                         torch._weights_only_unpickler
import time:       936 |        936 |                         torch._sources
import time:      1843 |       6990 |                       torch.serialization
import time:      1412 |       1412 |                       torch._tensor_str
import time:       855 |        855 |                         torch.cuda.gds
import time:       576 |        576 |                         torch.cuda._utils
import time:       800 |        800 |                         torch.cuda.graphs
import time:       681 |        681 |                           torch._streambase
import time:       735 |       1415 |                         torch.cuda.streams
import time:       426 |        426 |                         pynvml
import time:       907 |        907 |                           torch.cuda._memory_viz
import time:      1107 |       2014 |                         torch.cuda.memory
import time:      1023 |       1023 |                         torch.cuda.random
import time:       926 |        926 |                           torch.cuda.amp.autocast_mode
import time:       644 |        644 |                           torch.cuda.amp.common
import time:       639 |        639 |                           torch.cuda.amp.grad_scaler
import time:       669 |       2877 |                         torch.cuda.amp
import time:       751 |        751 |                         torch.cuda.jiterator
import time:       604 |        604 |                         torch.cuda.nvtx
import time:       708 |        708 |                         torch.cuda.profiler
import time:       568 |        568 |                         torch.cuda.sparse
import time:       640 |        640 |                         torch.cuda.tunable
import time:      6790 |      20039 |                       torch.cuda
import time:       557 |        557 |                           torch.sparse._semi_structured_conversions
import time:       558 |        558 |                           torch.sparse._semi_structured_ops
import time:      1415 |       2529 |                         torch.sparse.semi_structured
import time:       765 |       3293 |                       torch.sparse
import time:      1101 |       1101 |                       torch._compile
import time:       531 |        531 |                       torch._VF
import time:       806 |        806 |                             torch.nn.parameter
import time:      1392 |       1392 |                                 torch._prims_common
import time:       714 |        714 |                                     torch.utils.backcompat
